# 姓氏榜 —— 字庫第三層（姓氏）用。charlist.py 讀呢個檔。
# 欄：地區	排名	姓	人數或佔比	基準年	來源
#
# 【內地】公安部歷年《全國姓名報告》嘅新聞稿只以文字公布頭五位，
#   完整「百家姓」排名表只以圖片發布，網上六個來源（公安部、新華社、中新社、
#   中國網、騰訊、199IT）均只有前五名文字。故第 6–50 名留空，待人手補。
#   已核實：王李張劉陳五大姓佔全國戶籍總人口 30.8%（2020 年報告，2021-02-08 發布）。
# 【台灣】前 50 名連人數全部由官方 PDF 原文抽出，基準日 112年6月30日（2023-06-30）。
# 【香港】入境事務處及政府統計處從來冇公布姓氏統計，無官方數據，故不列。
#   （同 三地中文名字排行統計.xlsx「註釋與來源」第 1 條一致）

地區	排名	姓	人數或佔比	基準年	來源
內地	1	王	（前五大合佔全國戶籍人口 30.8%，官方未分拆）	2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》
內地	2	李	（前五大合佔全國戶籍人口 30.8%，官方未分拆）	2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》
內地	3	張	（前五大合佔全國戶籍人口 30.8%，官方未分拆）	2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》
內地	4	劉	（前五大合佔全國戶籍人口 30.8%，官方未分拆）	2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》
內地	5	陳	（前五大合佔全國戶籍人口 30.8%，官方未分拆）	2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》
內地	6			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	7			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	8			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	9			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	10			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	11			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	12			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	13			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	14			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	15			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	16			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	17			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	18			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	19			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	20			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	21			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	22			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	23			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	24			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	25			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	26			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	27			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	28			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	29			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	30			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	31			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	32			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	33			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	34			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	35			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	36			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	37			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	38			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	39			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	40			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	41			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	42			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	43			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	44			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	45			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	46			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	47			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	48			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	49			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
內地	50			2020	公安部戶政管理研究中心《二〇二〇年全國姓名報告》（官方只以圖片發布全表，待補）
台灣	1	陳	2,618,994	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	2	林	1,947,520	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	3	黃	1,402,808	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	4	張	1,239,880	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	5	李	1,199,920	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	6	王	955,035	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	7	吳	935,684	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	8	劉	737,607	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	9	蔡	684,531	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	10	楊	617,799	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	11	許	540,929	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	12	鄭	440,767	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	13	謝	412,657	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	14	洪	352,942	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	15	郭	350,072	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	16	邱	343,469	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	17	曾	338,779	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	18	廖	315,819	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	19	賴	310,053	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	20	徐	294,723	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	21	周	282,185	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	22	葉	276,376	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	23	蘇	265,641	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	24	莊	222,238	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	25	江	214,168	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	26	呂	212,835	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	27	何	198,755	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	28	蕭	194,001	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	29	羅	193,869	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	30	高	179,657	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	31	潘	162,042	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	32	簡	158,851	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	33	朱	154,057	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	34	鍾	152,552	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	35	游	139,073	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	36	彭	138,119	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	37	詹	136,232	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	38	施	127,312	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	39	胡	126,649	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	40	沈	120,364	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	41	余	118,955	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	42	盧	111,185	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	43	梁	107,098	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	44	趙	103,810	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	45	顏	103,567	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	46	柯	102,280	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	47	翁	93,244	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	48	魏	89,608	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	49	孫	83,760	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
台灣	50	戴	82,124	2023	內政部戶政司《全國姓名統計分析（112年）》表五十一
