# 字庫 —— 姓名字卡候選字清單。由 charlist.py 自動生成，唔好手改。
# 重新產生：python3 charlist.py
# 欄：字｜分層｜出現於（榜:排名,…）｜優先分｜狀態｜版本
字	分層	出現於	優先分	狀態	版本
偉	一 內地名	內地全名:1,2,5…、內地單字名:1	8.433	已做	2
張	一 內地名	內地全名:1,8,10、內地姓氏:3、台灣姓氏:4、台灣全名:6	5.342	未做	0
王	一 內地名	內地姓氏:1、內地全名:2,4,6、台灣姓氏:6	5.083	未做	0
英	一 內地名	內地雙字名:1,2	4.5	未做	0
秀	一 內地名	內地雙字名:1,3,9	4.333	未做	0
李	一 內地名	內地姓氏:2、內地全名:3,5,7、台灣姓氏:5	3.429	未做	0
靜	一 內地名	內地單字名:3、內地全名:6,7,10	2.229	已做	3
蘭	一 內地名	內地雙字名:3,4,7	2.179	未做	0
桂	一 內地名	內地雙字名:2,7	1.929	未做	0
敏	一 內地名	內地單字名:2、內地全名:8	1.875	未做	0
玉	一 內地名	內地雙字名:4,8	1.125	未做	0
婷	一 內地名	內地雙字名:5、台灣全名:6	1.1	未做	0
建	一 內地名	台灣全名:5、內地雙字名:6	1.1	未做	0
劉	一 內地名	內地姓氏:4、台灣姓氏:8、內地全名:9	1.083	未做	0
娜	一 內地名	內地全名:3	1.0	已做	2
杰	一 內地名	內地單字名:4	0.75	未做	0
芳	一 內地名	內地全名:4	0.75	未做	0
麗	一 內地名	內地單字名:5	0.6	未做	0
勇	一 內地名	內地單字名:6	0.5	未做	0
華	一 內地名	內地雙字名:6	0.5	未做	0
濤	一 內地名	內地單字名:7	0.429	未做	0
梅	一 內地名	內地雙字名:8	0.375	未做	0
艷	一 內地名	內地單字名:8	0.375	未做	0
珍	一 內地名	內地雙字名:9	0.333	未做	0
軍	一 內地名	內地單字名:9	0.333	未做	0
強	一 內地名	內地單字名:10	0.3	未做	0
海	一 內地名	內地雙字名:10	0.3	未做	0
燕	一 內地名	內地雙字名:10	0.3	未做	0
陳	二 台灣名	台灣全名:1,3,4…、台灣姓氏:1、內地姓氏:5	9.187	未做	0
怡	二 台灣名	台灣全名:1,2,8	4.875	未做	0
君	二 台灣名	台灣全名:1,2	4.5	未做	0
林	二 台灣名	台灣全名:2、台灣姓氏:2、內地姓氏:17	2.618	未做	0
宇	二 台灣名	香港名(男,非官方):2、台灣全名:3	1.5	未做	0
淑	二 台灣名	台灣全名:4,10	1.05	未做	0
冠	二 台灣名	台灣全名:3	1.0	未做	0
美	二 台灣名	台灣全名:7,9	0.762	已做	3
芬	二 台灣名	台灣全名:4	0.75	未做	0
惠	二 台灣名	台灣全名:9,10	0.633	未做	0
宏	二 台灣名	台灣全名:5	0.6	未做	0
雅	二 台灣名	台灣全名:6	0.5	未做	0
玲	二 台灣名	台灣全名:7	0.429	未做	0
如	二 台灣名	台灣全名:8	0.375	未做	0
黃	三 姓氏	台灣姓氏:3、內地姓氏:7	0.952	未做	0
楊	三 姓氏	內地姓氏:6、台灣姓氏:10	0.533	未做	0
吳	三 姓氏	台灣姓氏:7、內地姓氏:10	0.486	未做	0
周	三 姓氏	內地姓氏:9、台灣姓氏:21	0.317	未做	0
趙	三 姓氏	內地姓氏:8、台灣姓氏:44	0.295	未做	0
